WQdashboard,MassWateR,WQX,RI_WW,Blackstone_River_Coalition
Site_ID,Monitoring Location ID,Monitoring Location ID,WW ID,SITE_BRC_CODE
Activity_Type,Activity Type,Activity Type,Sample Type,
Date,Activity Start Date,Activity Start Date,Date of Sample,DATE_TIME
Depth,Activity Depth/Height Measure,Activity Depth/Height Measure,Depth,
Depth_Unit,Activity Depth/Height Unit,Activity Depth/Height Unit,,
Depth_Category,Activity Relative Depth Name,,,
Parameter,Characteristic Name,Characteristic Name,Parameter,PARAMETER
Result,Result Value,Result Value,Concentration,RESULT
Result_Unit,Result Unit,Result Unit,Unit,UNITS
Detection_Limit,Quantitation Limit,Result Detection/Quantitation Limit Measure,Detection Limit,
Detection_Limit_Unit,,Result Detection/Quantitation Limit Unit,Detection Limit Unit,
Qualifier,Result Measure Qualifier,Result Measure Qualifier,Qualifier Code,
