WQdashboard,WQX,MassWateR,RI_WW,RI_DEM,Blackstone_River_Coalition
Site_ID,Monitoring Location ID,Monitoring Location ID,WW_Station,,BRC_CODE
Site_Name,Monitoring Location Name,Monitoring Location Name,Site_DESCR,,SITE_NAME
Latitude,Monitoring Location Latitude (DD.DDDD) ,Monitoring Location Latitude,LAT_DD,,LATITUDE
Longitude,Monitoring Location Longitude (-DDD.DDDD),Monitoring Location Longitude,LON_DD,,LONGITUDE
State,State Code,,State,,
County,Monitoring Location County Name,,COUNTY,,
Town,,,Town,,TOWN
Watershed,,,HUC_12_NAME,,HUC_NAME
Group,,Location Group,,,CFR
Location_Type,Monitoring Location Type ,,WB_Type,,
Max_Depth_Surface,,,,,
Max_Depth_Midwater,,,,,
Max_Depth_Near_Bottom,,,MaxDepth_m,,
