WW_StaNumb,WW_Station,WBID,WB_Type,Site_DESCR,PARKING_ACCESS,Town,BorderTown,COUNTY,State,LAT_DD,LON_DD,ProjID,Year_added,Active,Status,DepthCode,MaxDepth_m,PublicAcce,LakeAcreag,sq__meter,HUC_8,HUC_10,HUC_12,HUC_10_NAME,HUC_12_NAME,Image,elevation_Feet,elevation_meters,Ord_Id
12,WW012,RI0010043L-08,Lake or Pond,Deep Pond (Charlestown),Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.391067,-71.66225,12,1990,2022,Active,D,10,No,15,60198.25,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,45.7,13.9,NIT
23,WW023,RI0010043L-07,Lake or Pond,Long Pond (South Kingstown),Off Minsterial Rd.; no public access,South Kingstown,,WASHINGTON,RI,41.41035,-71.553686,12,1990,2022,Active,D,8.2,No,39.9,159417.5,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,90.1,27.4,MHR
32,WW032,RI0010043E-06A,Salt Pond,Pt Judith Pond - East Pond,,Narragansett,"Narragansett, South Kingstown",WASHINGTON,RI,41.387539,-71.500766,12,2007,2022,Active,S,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,,,SPC
40,WW040,RI0010043L-09,Lake or Pond,Schoolhouse Pond-Lower,Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.395469,-71.665214,12,1990,2022,Active,D,8.5,No,48,390450.2,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,52.1,15.9,NIT
41,WW041,RI0010043L-09,Lake or Pond,Schoolhouse Pond-Upper,Narragansett Indian Tribal lands; no public access,Charlestown,,WASHINGTON,RI,41.400531,-71.667686,12,1990,2022,Active,D,8.5,No,49.6,390450.2,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,52.1,15.9,NIT
148,WW148,RI0010043L-06,Lake or Pond,Wash Pond,Off Rte 1; no public access,South Kingstown,,WASHINGTON,RI,41.401111,-71.550853,12,1991,2022,Active,D,8,No,19.5,77869.78,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,66.2,20.2,MHR
169,WW169,RI0010043E-05,Salt Pond,Potter Pond - Mid Pond (P3),,South Kingstown,,WASHINGTON,RI,41.383992,-71.531167,12,2008,2022,Active,S,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,-3.3,-1,SPC
197,WW197,RI0010043E-06A,Salt Pond,Pt Judith Pond - Central (Narragansett/South Kingstown),,Narragansett,"Narragansett, South Kingstown",WASHINGTON,RI,41.395896,-71.512369,12,2007,2022,Active,S,,Yes,,,1090005,109000504,10900050402,Frontal Block Island Sound,Point Judith Pond-Frontal Block Island Sound,,-4.2,-1.3,SPC
260,WW260,RI0010043E-02,Salt Pond,Green Hill Pond - In Pond (center),,South Kingstown,,WASHINGTON,RI,41.370716,-71.615082,12,2004,2022,Active,D,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-4.2,-1.3,SPC
261,WW261,RI0010043E-02,Salt Pond,Green Hill Pond - Indigo Point,,South Kingstown,,WASHINGTON,RI,41.374138,-71.618774,12,2004,2022,Active,S,,Yes,,,1090005,109000504,10900050403,Frontal Block Island Sound,Ninigret Pond-Frontal Block Island Sound,,-1.6,-0.5,SPC
